核销ID,订单ID,老人ID,核销时间,核销方式,操作人
V002502,O002502,E0255,2025-12-04 07:57,人脸识别,系统
V002503,O002503,E0204,2025-12-01 12:35,人脸识别,系统
V002504,O002504,E0176,2025-12-12 19:42,手工核销,操作员2
V002505,O002505,E0119,2025-12-12 12:35,人脸识别,系统
V002506,O002506,E0261,2026-01-01 07:01,手工核销,操作员3
V002507,O002507,E0140,2026-05-04 12:31,人脸识别,系统
V002508,O002508,E0118,2026-05-21 12:55,手工核销,操作员5
V002509,O002509,E0185,2026-01-12 06:16,人脸识别,系统
V002510,O002510,E0270,2026-05-26 12:11,人脸识别,系统
V002511,O002511,E0298,2026-03-14 18:11,人脸识别,系统
V002512,O002512,E0159,2026-03-03 13:20,人脸识别,系统
V002513,O002513,E0263,2026-01-12 06:07,手工核销,操作员5
V002514,O002514,E0099,2026-04-10 12:21,人脸识别,系统
V002515,O002515,E0253,2026-05-06 11:09,刷卡,系统
V002516,O002516,E0077,2026-02-23 07:19,人脸识别,系统
V002517,O002517,E0297,2026-01-04 17:56,刷卡,系统
V002518,O002518,E0154,2026-03-27 11:27,人脸识别,系统
V002519,O002519,E0065,2026-05-25 12:50,人脸识别,系统
V002520,O002520,E0280,2026-05-16 18:24,人脸识别,系统
V002521,O002521,E0291,2026-05-01 13:48,人脸识别,系统
V002522,O002522,E0227,2025-12-18 12:27,人脸识别,系统
V002523,O002523,E0222,2025-12-18 12:03,人脸识别,系统
V002524,O002524,E0080,2026-02-23 13:44,人脸识别,系统
V002525,O002525,E0166,2025-12-02 12:25,人脸识别,系统
V002526,O002526,E0078,2026-03-16 12:12,手工核销,操作员5
V002527,O002527,E0230,2026-04-25 11:18,手工核销,操作员2
V002528,O002528,E0221,2026-03-15 13:33,人脸识别,系统
V002529,O002529,E0002,2026-03-03 19:44,人脸识别,系统
V002530,O002530,E0297,2026-01-10 13:15,手工核销,操作员5
V002531,O002531,E0001,2026-03-10 11:44,人脸识别,系统
V002532,O002532,E0132,2026-02-07 13:03,手工核销,操作员3
V002533,O002533,E0101,2026-03-16 13:19,人脸识别,系统
V002534,O002534,E0228,2026-04-18 11:40,刷卡,系统
V002535,O002535,E0106,2026-04-25 07:25,人脸识别,系统
V002536,O002536,E0184,2026-04-19 13:43,刷卡,系统
V002537,O002537,E0198,2026-04-23 12:37,人脸识别,系统
V002538,O002538,E0239,2025-12-10 12:29,人脸识别,系统
V002539,O002539,E0085,2026-03-10 18:05,刷卡,系统
V002540,O002540,E0110,2025-12-07 12:37,人脸识别,系统
V002541,O002541,E0100,2026-02-23 19:12,人脸识别,系统
V002542,O002542,E0219,2025-12-24 19:53,刷卡,系统
V002543,O002543,E0053,2025-12-31 19:55,人脸识别,系统
V002544,O002544,E0157,2026-03-19 18:35,人脸识别,系统
V002545,O002545,E0042,2026-05-12 12:16,人脸识别,系统
V002546,O002546,E0040,2025-12-27 13:26,人脸识别,系统
V002547,O002547,E0101,2026-02-25 06:34,人脸识别,系统
V002548,O002548,E0168,2026-05-09 17:39,人脸识别,系统
V002549,O002549,E0020,2025-12-17 11:32,刷卡,系统
V002550,O002550,E0270,2025-12-11 12:52,刷卡,系统
V002551,O002551,E0050,2026-04-08 11:17,人脸识别,系统
V002552,O002552,E0294,2026-02-20 11:57,人脸识别,系统
V002553,O002553,E0143,2026-01-18 11:19,人脸识别,系统
V002554,O002554,E0250,2025-12-30 13:50,人脸识别,系统
V002555,O002555,E0201,2025-12-20 17:32,人脸识别,系统
V002556,O002556,E0264,2026-02-09 18:30,刷卡,系统
V002557,O002557,E0022,2026-01-06 19:36,刷卡,系统
V002558,O002558,E0066,2026-04-05 17:56,人脸识别,系统
V002559,O002559,E0041,2026-04-23 06:18,人脸识别,系统
V002560,O002560,E0135,2026-01-08 17:32,人脸识别,系统
V002561,O002561,E0293,2026-03-19 11:16,人脸识别,系统
V002562,O002562,E0247,2026-05-22 19:32,人脸识别,系统
V002563,O002563,E0071,2026-02-02 06:35,人脸识别,系统
V002564,O002564,E0101,2026-05-24 11:04,人脸识别,系统
V002565,O002565,E0038,2025-12-23 17:39,人脸识别,系统
V002566,O002566,E0151,2026-01-01 12:57,人脸识别,系统
V002567,O002567,E0075,2026-05-26 11:46,手工核销,操作员5
V002568,O002568,E0230,2026-04-02 11:44,刷卡,系统
V002569,O002569,E0183,2025-12-08 12:26,刷卡,系统
V002570,O002570,E0178,2026-03-16 11:06,手工核销,操作员1
V002571,O002571,E0268,2026-02-05 13:57,刷卡,系统
V002572,O002572,E0041,2026-05-16 12:13,手工核销,操作员5
V002573,O002573,E0031,2026-02-27 13:03,刷卡,系统
V002574,O002574,E0028,2026-01-29 06:49,人脸识别,系统
V002575,O002575,E0161,2025-12-11 11:17,人脸识别,系统
V002576,O002576,E0179,2026-01-18 12:33,人脸识别,系统
V002577,O002577,E0130,2026-04-22 16:48,刷卡,系统
V002578,O002578,E0159,2026-04-07 12:15,人脸识别,系统
V002579,O002579,E0290,2025-12-09 11:26,刷卡,系统
V002580,O002580,E0099,2026-05-20 19:37,人脸识别,系统
V002581,O002581,E0070,2026-04-22 17:19,刷卡,系统
V002582,O002582,E0064,2025-12-05 18:45,手工核销,操作员1
V002583,O002583,E0107,2025-12-29 11:18,人脸识别,系统
V002584,O002584,E0247,2026-02-07 11:00,人脸识别,系统
V002585,O002585,E0013,2026-04-29 08:43,人脸识别,系统
V002586,O002586,E0235,2025-12-13 11:22,人脸识别,系统
V002587,O002587,E0226,2026-05-27 19:47,人脸识别,系统
V002588,O002588,E0068,2026-03-26 11:08,人脸识别,系统
V002589,O002589,E0295,2026-05-24 13:27,人脸识别,系统
V002590,O002590,E0259,2026-03-20 11:19,刷卡,系统
V002591,O002591,E0206,2026-05-06 11:15,人脸识别,系统
V002592,O002592,E0041,2026-02-18 08:12,人脸识别,系统
V002593,O002593,E0119,2026-03-10 13:32,人脸识别,系统
V002594,O002594,E0185,2025-12-17 11:02,人脸识别,系统
V002595,O002595,E0231,2026-04-27 12:14,人脸识别,系统
V002596,O002596,E0184,2026-03-24 12:15,人脸识别,系统
V002597,O002597,E0209,2025-12-06 18:29,刷卡,系统
V002598,O002598,E0155,2025-12-22 18:24,人脸识别,系统
V002599,O002599,E0262,2026-04-16 18:13,刷卡,系统
V002600,O002600,E0280,2026-05-09 13:00,刷卡,系统
V002601,O002601,E0123,2026-02-26 13:32,手工核销,操作员2
V002602,O002602,E0083,2026-01-02 19:36,刷卡,系统
V002603,O002603,E0089,2026-02-08 06:28,人脸识别,系统
V002604,O002604,E0064,2026-01-18 06:36,刷卡,系统
V002605,O002605,E0128,2026-03-14 12:07,人脸识别,系统
V002606,O002606,E0260,2026-05-07 12:00,人脸识别,系统
V002607,O002607,E0087,2026-03-12 07:23,刷卡,系统
V002608,O002608,E0017,2026-04-23 18:58,手工核销,操作员1
V002609,O002609,E0298,2026-03-16 12:49,人脸识别,系统
V002610,O002610,E0217,2026-02-20 13:00,人脸识别,系统
V002611,O002611,E0276,2026-02-24 13:45,刷卡,系统
V002612,O002612,E0104,2025-12-14 11:42,手工核销,操作员5
V002613,O002613,E0210,2026-05-14 06:55,人脸识别,系统
V002614,O002614,E0021,2026-01-18 08:09,刷卡,系统
V002615,O002615,E0015,2026-01-19 12:17,手工核销,操作员2
V002616,O002616,E0190,2026-05-13 18:20,人脸识别,系统
V002617,O002617,E0168,2026-05-29 11:09,刷卡,系统
V002618,O002618,E0044,2025-12-23 11:21,刷卡,系统
V002619,O002619,E0082,2026-02-04 11:50,刷卡,系统
V002620,O002620,E0193,2026-05-22 11:44,人脸识别,系统
V002621,O002621,E0194,2026-03-25 11:08,刷卡,系统
V002622,O002622,E0292,2025-12-28 08:08,人脸识别,系统
V002623,O002623,E0091,2025-12-08 19:39,刷卡,系统
V002624,O002624,E0261,2026-05-26 12:44,人脸识别,系统
V002625,O002625,E0209,2026-03-31 11:38,人脸识别,系统
V002626,O002626,E0257,2026-03-07 11:20,刷卡,系统
V002627,O002627,E0063,2026-03-29 17:57,人脸识别,系统
V002628,O002628,E0135,2026-03-19 12:30,人脸识别,系统
V002629,O002629,E0182,2025-12-26 10:01,刷卡,系统
V002630,O002630,E0155,2026-04-26 18:50,人脸识别,系统
V002631,O002631,E0089,2026-03-16 13:52,人脸识别,系统
V002632,O002632,E0054,2026-04-20 07:23,刷卡,系统
V002633,O002633,E0022,2026-01-31 07:32,刷卡,系统
V002634,O002634,E0237,2026-04-05 18:10,人脸识别,系统
V002635,O002635,E0096,2026-04-21 18:00,人脸识别,系统
V002636,O002636,E0060,2026-04-18 17:54,人脸识别,系统
V002637,O002637,E0190,2026-02-05 18:48,人脸识别,系统
V002638,O002638,E0280,2025-12-12 13:50,人脸识别,系统
V002639,O002639,E0188,2026-01-04 12:07,人脸识别,系统
V002640,O002640,E0066,2026-03-20 13:08,人脸识别,系统
V002641,O002641,E0048,2026-05-16 18:20,手工核销,操作员1
V002642,O002642,E0006,2025-12-20 13:46,刷卡,系统
V002643,O002643,E0139,2025-12-14 18:21,人脸识别,系统
V002644,O002644,E0285,2026-05-04 08:28,刷卡,系统
V002645,O002645,E0213,2026-03-11 18:39,人脸识别,系统
V002646,O002646,E0242,2026-01-29 13:02,人脸识别,系统
V002647,O002647,E0276,2026-01-12 18:48,刷卡,系统
V002648,O002648,E0249,2026-01-24 07:24,刷卡,系统
V002649,O002649,E0260,2026-03-19 08:17,人脸识别,系统
V002650,O002650,E0101,2026-03-03 07:10,手工核销,操作员2
V002651,O002651,E0030,2026-05-12 13:29,刷卡,系统
V002652,O002652,E0256,2026-03-05 12:24,人脸识别,系统
V002653,O002653,E0154,2026-05-09 17:10,人脸识别,系统
V002654,O002654,E0270,2026-04-26 12:33,人脸识别,系统
V002655,O002655,E0077,2026-03-05 08:23,手工核销,操作员4
V002656,O002656,E0093,2026-05-16 13:47,人脸识别,系统
V002657,O002657,E0294,2026-04-27 07:31,人脸识别,系统
V002658,O002658,E0142,2025-12-28 19:02,刷卡,系统
V002659,O002659,E0168,2025-12-03 18:44,人脸识别,系统
V002660,O002660,E0119,2026-05-09 18:24,人脸识别,系统
V002661,O002661,E0141,2026-02-24 12:57,刷卡,系统
V002662,O002662,E0128,2026-03-18 06:44,人脸识别,系统
V002663,O002663,E0102,2026-05-19 12:19,人脸识别,系统
V002664,O002664,E0181,2026-03-27 12:55,人脸识别,系统
V002665,O002665,E0252,2026-03-18 17:19,刷卡,系统
V002666,O002666,E0042,2025-12-15 06:50,刷卡,系统
V002667,O002667,E0100,2026-01-31 08:16,刷卡,系统
V002668,O002668,E0135,2025-12-31 17:19,刷卡,系统
V002669,O002669,E0208,2025-12-26 12:17,人脸识别,系统
V002670,O002670,E0080,2026-04-27 11:56,刷卡,系统
V002671,O002671,E0182,2026-02-04 17:13,人脸识别,系统
V002672,O002672,E0188,2026-04-28 08:33,刷卡,系统
V002673,O002673,E0085,2026-03-25 17:15,人脸识别,系统
V002674,O002674,E0136,2026-01-29 13:31,人脸识别,系统
V002675,O002675,E0225,2026-02-01 07:07,手工核销,操作员2
V002676,O002676,E0102,2026-05-28 11:41,人脸识别,系统
V002677,O002677,E0088,2026-03-11 07:57,手工核销,操作员3
V002678,O002678,E0257,2026-05-16 11:15,人脸识别,系统
V002679,O002679,E0159,2026-03-10 12:38,人脸识别,系统
V002680,O002680,E0278,2026-04-18 11:37,刷卡,系统
V002681,O002681,E0177,2026-03-29 11:03,人脸识别,系统
V002682,O002682,E0063,2026-01-26 13:34,刷卡,系统
V002683,O002683,E0162,2026-04-10 06:27,人脸识别,系统
V002684,O002684,E0037,2026-01-06 17:42,人脸识别,系统
V002685,O002685,E0259,2026-03-21 19:41,刷卡,系统
V002686,O002686,E0053,2026-05-02 06:13,人脸识别,系统
V002687,O002687,E0072,2026-04-28 13:04,人脸识别,系统
V002688,O002688,E0232,2026-03-22 13:01,手工核销,操作员1
V002689,O002689,E0043,2025-12-24 08:44,刷卡,系统
V002690,O002690,E0083,2025-12-01 13:49,刷卡,系统
V002691,O002691,E0103,2025-12-23 12:23,人脸识别,系统
V002692,O002692,E0029,2026-03-17 11:02,刷卡,系统
V002693,O002693,E0160,2026-03-23 06:22,手工核销,操作员1
V002694,O002694,E0090,2026-05-01 17:10,人脸识别,系统
V002695,O002695,E0248,2026-05-24 11:37,刷卡,系统
V002696,O002696,E0020,2026-02-27 12:55,人脸识别,系统
V002697,O002697,E0035,2026-04-14 19:34,人脸识别,系统
V002698,O002698,E0052,2026-01-07 18:00,人脸识别,系统
V002699,O002699,E0079,2025-12-10 12:05,人脸识别,系统
V002700,O002700,E0250,2025-12-26 18:05,人脸识别,系统
V002701,O002701,E0246,2026-05-12 11:39,人脸识别,系统
V002702,O002702,E0011,2026-01-31 13:25,人脸识别,系统
V002703,O002703,E0139,2026-02-11 13:34,人脸识别,系统
V002704,O002704,E0051,2025-12-03 18:12,人脸识别,系统
V002705,O002705,E0270,2026-03-12 11:24,人脸识别,系统
V002706,O002706,E0082,2026-04-27 13:21,手工核销,操作员5
V002707,O002707,E0020,2026-03-15 11:16,人脸识别,系统
V002708,O002708,E0081,2026-01-13 12:13,刷卡,系统
V002709,O002709,E0063,2026-05-09 13:02,人脸识别,系统
V002710,O002710,E0198,2026-03-10 11:03,人脸识别,系统
V002711,O002711,E0019,2025-12-26 06:34,人脸识别,系统
V002712,O002712,E0191,2026-01-17 12:53,手工核销,操作员2
V002713,O002713,E0073,2025-12-05 11:46,刷卡,系统
V002714,O002714,E0138,2026-01-28 18:54,人脸识别,系统
V002715,O002715,E0227,2025-12-30 11:27,人脸识别,系统
V002716,O002716,E0124,2026-01-18 13:42,刷卡,系统
V002717,O002717,E0206,2026-05-07 19:01,手工核销,操作员3
V002718,O002718,E0020,2026-04-24 07:44,手工核销,操作员5
V002719,O002719,E0249,2026-02-08 12:47,刷卡,系统
V002720,O002720,E0219,2025-12-29 13:37,刷卡,系统
V002721,O002721,E0261,2025-12-01 11:46,人脸识别,系统
V002722,O002722,E0047,2025-12-15 13:03,人脸识别,系统
V002723,O002723,E0207,2026-05-25 08:46,手工核销,操作员4
V002724,O002724,E0199,2026-04-07 07:48,人脸识别,系统
V002725,O002725,E0255,2026-05-11 13:11,人脸识别,系统
V002726,O002726,E0163,2026-04-04 12:33,人脸识别,系统
V002727,O002727,E0299,2026-05-07 17:36,人脸识别,系统
V002728,O002728,E0056,2025-12-19 18:43,刷卡,系统
V002729,O002729,E0005,2026-03-29 06:40,手工核销,操作员4
V002730,O002730,E0251,2025-12-15 12:29,人脸识别,系统
V002731,O002731,E0097,2026-02-04 07:20,人脸识别,系统
V002732,O002732,E0151,2026-01-26 13:55,人脸识别,系统
V002733,O002733,E0073,2026-01-13 19:27,人脸识别,系统
V002734,O002734,E0053,2025-12-12 12:41,人脸识别,系统
V002735,O002735,E0175,2026-04-01 06:49,人脸识别,系统
V002736,O002736,E0195,2026-05-17 13:04,人脸识别,系统
V002737,O002737,E0179,2025-12-24 08:32,人脸识别,系统
V002738,O002738,E0024,2026-04-18 13:33,刷卡,系统
V002739,O002739,E0248,2025-12-01 12:31,手工核销,操作员5
V002740,O002740,E0092,2025-12-28 12:26,人脸识别,系统
V002741,O002741,E0159,2026-02-06 19:02,刷卡,系统
V002742,O002742,E0113,2026-03-15 11:39,人脸识别,系统
V002743,O002743,E0174,2026-03-04 17:43,人脸识别,系统
V002744,O002744,E0229,2026-04-03 17:41,刷卡,系统
V002745,O002745,E0166,2025-12-05 12:50,人脸识别,系统
V002746,O002746,E0060,2025-12-22 12:43,人脸识别,系统
V002747,O002747,E0264,2026-05-06 08:03,人脸识别,系统
V002748,O002748,E0013,2026-02-27 17:35,刷卡,系统
V002749,O002749,E0171,2026-01-14 13:56,人脸识别,系统
V002750,O002750,E0068,2026-04-03 06:35,人脸识别,系统
V002751,O002751,E0186,2026-04-24 12:40,人脸识别,系统
V002752,O002752,E0250,2025-12-07 18:58,人脸识别,系统
V002753,O002753,E0213,2026-01-08 17:55,人脸识别,系统
V002754,O002754,E0055,2026-05-17 13:51,人脸识别,系统
V002755,O002755,E0146,2025-12-28 12:02,刷卡,系统
V002756,O002756,E0100,2026-04-09 19:49,人脸识别,系统
V002757,O002757,E0287,2026-05-04 13:55,手工核销,操作员2
V002758,O002758,E0297,2026-04-28 06:55,人脸识别,系统
V002759,O002759,E0004,2026-02-25 11:00,人脸识别,系统
V002760,O002760,E0076,2026-04-14 19:38,人脸识别,系统
V002761,O002761,E0233,2026-01-21 08:39,刷卡,系统
V002762,O002762,E0073,2026-05-25 12:38,刷卡,系统
V002763,O002763,E0163,2026-04-05 13:26,手工核销,操作员5
V002764,O002764,E0281,2026-04-26 18:43,人脸识别,系统
V002765,O002765,E0206,2026-02-11 17:02,手工核销,操作员5
V002766,O002766,E0199,2026-04-19 13:35,刷卡,系统
V002767,O002767,E0128,2026-03-04 19:36,刷卡,系统
V002768,O002768,E0200,2025-12-02 06:29,人脸识别,系统
V002769,O002769,E0175,2025-12-17 06:00,刷卡,系统
V002770,O002770,E0253,2026-04-04 19:09,刷卡,系统
V002771,O002771,E0277,2026-04-10 13:02,人脸识别,系统
V002772,O002772,E0262,2025-12-21 08:37,人脸识别,系统
V002773,O002773,E0213,2026-02-16 11:02,人脸识别,系统
V002774,O002774,E0008,2025-12-03 17:36,刷卡,系统
V002775,O002775,E0242,2026-01-20 17:51,人脸识别,系统
V002776,O002776,E0180,2026-03-16 19:33,人脸识别,系统
V002777,O002777,E0261,2026-03-15 11:51,人脸识别,系统
V002778,O002778,E0164,2025-12-10 18:19,刷卡,系统
V002779,O002779,E0128,2026-03-26 11:10,人脸识别,系统
V002780,O002780,E0197,2025-12-13 13:18,刷卡,系统
V002781,O002781,E0130,2026-01-05 19:26,人脸识别,系统
V002782,O002782,E0102,2026-01-20 11:23,刷卡,系统
V002783,O002783,E0185,2026-02-12 08:05,刷卡,系统
V002784,O002784,E0087,2025-12-17 11:00,刷卡,系统
V002785,O002785,E0009,2026-01-30 11:56,人脸识别,系统
V002786,O002786,E0130,2026-03-01 07:18,手工核销,操作员5
V002787,O002787,E0042,2026-04-20 07:51,人脸识别,系统
V002788,O002788,E0130,2026-03-05 13:57,刷卡,系统
V002789,O002789,E0259,2026-02-18 07:09,人脸识别,系统
V002790,O002790,E0245,2026-03-13 18:43,人脸识别,系统
V002791,O002791,E0022,2026-01-17 12:31,刷卡,系统
V002792,O002792,E0234,2025-12-19 08:54,人脸识别,系统
V002793,O002793,E0152,2026-02-08 13:47,人脸识别,系统
V002794,O002794,E0256,2026-01-16 19:36,刷卡,系统
V002795,O002795,E0118,2025-12-10 08:35,手工核销,操作员2
V002796,O002796,E0160,2026-02-18 11:01,人脸识别,系统
V002797,O002797,E0193,2025-12-13 17:36,人脸识别,系统
V002798,O002798,E0220,2026-01-27 12:13,人脸识别,系统
V002799,O002799,E0030,2026-02-22 17:45,人脸识别,系统
V002800,O002800,E0039,2026-02-06 13:12,刷卡,系统
V002801,O002801,E0007,2026-02-22 13:55,人脸识别,系统
V002802,O002802,E0224,2026-02-24 12:49,刷卡,系统
V002803,O002803,E0266,2026-05-06 11:16,刷卡,系统
V002804,O002804,E0156,2026-04-23 19:26,人脸识别,系统
V002805,O002805,E0252,2026-02-01 17:53,人脸识别,系统
V002806,O002806,E0209,2026-05-24 19:28,人脸识别,系统
V002807,O002807,E0192,2026-01-12 19:12,人脸识别,系统
V002808,O002808,E0045,2026-04-30 19:48,刷卡,系统
V002809,O002809,E0187,2026-05-07 11:24,人脸识别,系统
V002810,O002810,E0162,2025-12-30 17:23,刷卡,系统
V002811,O002811,E0091,2025-12-11 12:47,刷卡,系统
V002812,O002812,E0119,2025-12-24 13:35,人脸识别,系统
V002813,O002813,E0267,2025-12-30 13:22,人脸识别,系统
V002814,O002814,E0231,2026-03-16 17:25,刷卡,系统
V002815,O002815,E0051,2026-03-11 12:47,人脸识别,系统
V002816,O002816,E0169,2025-12-08 18:35,人脸识别,系统
V002817,O002817,E0077,2026-05-21 13:05,手工核销,操作员5
V002818,O002818,E0008,2025-12-08 18:15,人脸识别,系统
V002819,O002819,E0045,2026-05-11 18:09,人脸识别,系统
V002820,O002820,E0161,2026-01-04 06:38,刷卡,系统
V002821,O002821,E0123,2026-03-06 18:56,人脸识别,系统
V002822,O002822,E0174,2026-01-19 12:26,手工核销,操作员3
V002823,O002823,E0045,2026-04-24 11:01,手工核销,操作员2
V002824,O002824,E0112,2025-12-02 19:09,人脸识别,系统
V002825,O002825,E0125,2026-01-13 12:47,人脸识别,系统
V002826,O002826,E0136,2026-03-12 11:07,手工核销,操作员4
V002827,O002827,E0173,2026-05-26 11:08,人脸识别,系统
V002828,O002828,E0267,2025-12-07 08:12,人脸识别,系统
V002829,O002829,E0067,2026-02-10 13:51,人脸识别,系统
V002830,O002830,E0291,2026-03-20 13:07,人脸识别,系统
V002831,O002831,E0294,2026-04-16 17:26,人脸识别,系统
V002832,O002832,E0293,2026-04-08 08:45,刷卡,系统
V002833,O002833,E0299,2026-03-13 11:41,手工核销,操作员5
V002834,O002834,E0040,2026-04-16 18:20,人脸识别,系统
V002835,O002835,E0282,2025-12-27 19:40,人脸识别,系统
V002836,O002836,E0205,2025-12-27 19:33,人脸识别,系统
V002837,O002837,E0046,2025-12-11 13:28,人脸识别,系统
V002838,O002838,E0035,2026-05-13 12:29,人脸识别,系统
V002839,O002839,E0263,2026-03-03 11:43,人脸识别,系统
V002840,O002840,E0269,2026-03-10 08:15,刷卡,系统
V002841,O002841,E0134,2026-04-10 19:00,人脸识别,系统
V002842,O002842,E0241,2026-03-27 13:44,人脸识别,系统
V002843,O002843,E0211,2026-04-30 12:46,人脸识别,系统
V002844,O002844,E0157,2026-04-01 13:28,人脸识别,系统
V002845,O002845,E0188,2026-03-20 11:41,人脸识别,系统
V002846,O002846,E0087,2026-02-11 13:29,人脸识别,系统
V002847,O002847,E0270,2025-12-30 17:21,刷卡,系统
V002848,O002848,E0294,2025-12-19 12:14,人脸识别,系统
V002849,O002849,E0012,2026-03-12 13:19,人脸识别,系统
V002850,O002850,E0235,2026-02-05 08:37,人脸识别,系统
V002851,O002851,E0104,2026-01-19 07:22,人脸识别,系统
V002852,O002852,E0172,2026-01-17 11:30,人脸识别,系统
V002853,O002853,E0153,2025-12-01 07:56,人脸识别,系统
V002854,O002854,E0039,2026-02-04 08:16,人脸识别,系统
V002855,O002855,E0210,2026-05-04 19:34,刷卡,系统
V002856,O002856,E0180,2026-03-16 13:01,刷卡,系统
V002857,O002857,E0063,2026-03-21 06:46,人脸识别,系统
V002858,O002858,E0233,2026-01-09 07:52,人脸识别,系统
V002859,O002859,E0200,2026-04-04 08:30,人脸识别,系统
V002860,O002860,E0281,2025-12-18 12:25,人脸识别,系统
V002861,O002861,E0086,2026-05-04 12:30,人脸识别,系统
V002862,O002862,E0111,2026-04-18 11:07,人脸识别,系统
V002863,O002863,E0198,2026-05-16 08:15,人脸识别,系统
V002864,O002864,E0178,2025-12-19 13:11,人脸识别,系统
V002865,O002865,E0209,2026-02-27 11:52,刷卡,系统
V002866,O002866,E0298,2026-04-14 12:55,人脸识别,系统
V002867,O002867,E0267,2025-12-20 17:18,手工核销,操作员4
V002868,O002868,E0199,2026-04-09 12:43,人脸识别,系统
V002869,O002869,E0268,2026-01-07 06:57,人脸识别,系统
V002870,O002870,E0285,2026-04-12 18:12,刷卡,系统
V002871,O002871,E0185,2026-02-20 12:00,人脸识别,系统
V002872,O002872,E0213,2026-01-05 13:12,人脸识别,系统
V002873,O002873,E0176,2025-12-11 19:03,人脸识别,系统
V002874,O002874,E0145,2026-03-29 11:50,人脸识别,系统
V002875,O002875,E0190,2026-02-23 19:44,刷卡,系统
V002876,O002876,E0032,2026-04-27 08:47,人脸识别,系统
V002877,O002877,E0284,2026-04-12 13:30,手工核销,操作员5
V002878,O002878,E0154,2025-12-24 06:07,人脸识别,系统
V002879,O002879,E0233,2025-12-30 12:26,刷卡,系统
V002880,O002880,E0183,2025-12-04 12:07,刷卡,系统
V002881,O002881,E0092,2026-05-30 12:55,人脸识别,系统
V002882,O002882,E0181,2026-05-28 06:50,刷卡,系统
V002883,O002883,E0108,2026-03-19 06:23,人脸识别,系统
V002884,O002884,E0011,2026-04-14 13:21,人脸识别,系统
V002885,O002885,E0299,2026-05-19 18:39,人脸识别,系统
V002886,O002886,E0065,2026-01-04 19:28,手工核销,操作员1
V002887,O002887,E0042,2026-03-29 17:08,人脸识别,系统
V002888,O002888,E0007,2026-01-03 11:16,手工核销,操作员2
V002889,O002889,E0051,2026-03-13 06:00,人脸识别,系统
V002890,O002890,E0060,2026-03-27 12:43,刷卡,系统
V002891,O002891,E0129,2026-02-14 11:31,人脸识别,系统
V002892,O002892,E0168,2026-01-23 07:19,人脸识别,系统
V002893,O002893,E0266,2025-12-29 12:00,手工核销,操作员5
V002894,O002894,E0058,2025-12-15 08:24,人脸识别,系统
V002895,O002895,E0036,2025-12-27 11:40,刷卡,系统
V002896,O002896,E0158,2025-12-02 11:26,刷卡,系统
V002897,O002897,E0262,2026-01-11 08:22,刷卡,系统
V002898,O002898,E0069,2026-05-14 11:17,刷卡,系统
V002899,O002899,E0088,2025-12-21 11:51,人脸识别,系统
V002900,O002900,E0252,2026-04-10 11:30,人脸识别,系统
V002901,O002901,E0150,2026-04-15 19:27,刷卡,系统
V002902,O002902,E0094,2026-02-08 07:51,刷卡,系统
V002903,O002903,E0034,2025-12-12 18:41,人脸识别,系统
V002904,O002904,E0058,2025-12-05 08:20,人脸识别,系统
V002905,O002905,E0084,2026-04-20 13:11,人脸识别,系统
V002906,O002906,E0243,2026-03-16 13:36,人脸识别,系统
V002907,O002907,E0164,2025-12-12 18:23,人脸识别,系统
V002908,O002908,E0289,2026-04-07 12:50,人脸识别,系统
V002909,O002909,E0205,2026-04-30 07:38,刷卡,系统
V002910,O002910,E0093,2026-04-07 12:48,人脸识别,系统
V002911,O002911,E0067,2026-05-29 11:32,人脸识别,系统
V002912,O002912,E0199,2026-01-30 11:50,刷卡,系统
V002913,O002913,E0275,2025-12-26 07:16,人脸识别,系统
V002914,O002914,E0190,2025-12-15 13:58,人脸识别,系统
V002915,O002915,E0097,2025-12-22 07:32,人脸识别,系统
V002916,O002916,E0057,2026-02-27 19:15,刷卡,系统
V002917,O002917,E0144,2026-02-03 12:50,人脸识别,系统
V002918,O002918,E0193,2026-05-03 07:26,人脸识别,系统
V002919,O002919,E0078,2025-12-21 18:40,刷卡,系统
V002920,O002920,E0224,2026-05-01 13:52,人脸识别,系统
V002921,O002921,E0178,2025-12-16 12:27,刷卡,系统
V002922,O002922,E0184,2026-05-09 06:35,人脸识别,系统
V002923,O002923,E0018,2025-12-29 12:06,刷卡,系统
V002924,O002924,E0192,2026-01-11 11:33,人脸识别,系统
V002925,O002925,E0167,2026-05-09 19:53,人脸识别,系统
V002926,O002926,E0213,2026-05-27 07:45,刷卡,系统
V002927,O002927,E0267,2025-12-27 08:57,人脸识别,系统
V002928,O002928,E0051,2026-03-18 19:00,人脸识别,系统
V002929,O002929,E0004,2026-04-04 17:03,刷卡,系统
V002930,O002930,E0223,2026-05-01 07:53,人脸识别,系统
V002931,O002931,E0121,2025-12-13 17:25,人脸识别,系统
V002932,O002932,E0285,2026-02-17 13:19,人脸识别,系统
V002933,O002933,E0028,2026-04-17 19:54,刷卡,系统
V002934,O002934,E0016,2026-01-11 18:50,人脸识别,系统
V002935,O002935,E0164,2026-05-18 06:12,人脸识别,系统
V002936,O002936,E0254,2026-03-31 11:34,人脸识别,系统
V002937,O002937,E0209,2026-04-10 08:09,人脸识别,系统
V002938,O002938,E0279,2025-12-16 06:07,人脸识别,系统
V002939,O002939,E0223,2026-01-13 06:17,人脸识别,系统
