订单ID,老人ID,餐品ID,下单日期,餐次,餐品单价,补贴抵扣,自付金额,订单来源,订餐渠道,退餐原因
O002075,E0218,M014,2026-01-20,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O002076,E0142,M022,2025-12-18,午餐,12,3.3,8.7,老人主动选择,小程序,
O002077,E0187,M017,2025-12-05,午餐,10,3.3,6.7,老人主动选择,小程序,
O002078,E0070,M023,2026-05-17,午餐,12,6.7,5.3,食堂替换餐品,小程序,
O002079,E0037,M012,2025-12-06,午餐,10,3.3,6.7,老人主动选择,小程序,
O002080,E0088,M021,2026-02-14,晚餐,8,3.3,4.7,老人主动选择,电话订餐,
O002081,E0280,M023,2026-03-25,早餐,15,6.7,8.3,家属代订,小程序,盐分过高
O002082,E0298,M021,2025-12-12,午餐,15,6.7,8.3,食堂替换餐品,小程序,
O002083,E0218,M021,2025-12-12,晚餐,12,6.7,5.3,食堂替换餐品,现场点餐,
O002084,E0202,M019,2026-02-11,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O002085,E0241,M005,2026-03-16,早餐,8,3.3,4.7,老人主动选择,社区代办,
O002086,E0249,M024,2026-04-29,晚餐,12,3.3,8.7,家属代订,电话订餐,
O002087,E0161,M030,2026-01-18,午餐,8,6.7,1.3,家属代订,小程序,
O002088,E0098,M008,2026-05-27,午餐,10,3.3,6.7,老人主动选择,小程序,糖分过高
O002089,E0208,M002,2025-12-04,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O002090,E0145,M027,2026-05-27,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O002091,E0048,M017,2025-12-03,早餐,10,10.0,0.0,老人主动选择,小程序,
O002092,E0028,M002,2026-04-23,午餐,15,13.3,1.7,家属代订,现场点餐,
O002093,E0279,M027,2025-12-14,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O002094,E0124,M023,2026-02-02,晚餐,10,6.7,3.3,老人主动选择,小程序,
O002095,E0162,M003,2026-03-30,午餐,15,15.0,0.0,老人主动选择,电话订餐,
O002096,E0167,M024,2026-05-18,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O002097,E0283,M020,2026-02-06,午餐,8,8.0,0.0,老人主动选择,小程序,
O002098,E0220,M026,2026-01-28,午餐,12,12.0,0.0,老人主动选择,小程序,
O002099,E0205,M026,2026-04-09,晚餐,12,12.0,0.0,食堂替换餐品,现场点餐,
O002100,E0129,M024,2026-03-29,午餐,12,12.0,0.0,老人主动选择,电话订餐,盐分过高
O002101,E0248,M030,2025-12-10,午餐,15,13.3,1.7,家属代订,小程序,
O002102,E0157,M018,2026-02-13,午餐,8,6.7,1.3,家属代订,社区代办,
O002103,E0231,M029,2026-02-28,晚餐,15,3.3,11.7,老人主动选择,小程序,
O002104,E0009,M030,2026-03-11,早餐,15,6.7,8.3,老人主动选择,小程序,
O002105,E0016,M015,2026-05-03,午餐,10,6.7,3.3,老人主动选择,小程序,
O002106,E0093,M005,2026-04-11,午餐,12,3.3,8.7,家属代订,现场点餐,
O002107,E0182,M022,2025-12-28,晚餐,15,13.3,1.7,家属代订,电话订餐,
O002108,E0074,M017,2025-12-15,午餐,12,3.3,8.7,老人主动选择,现场点餐,
O002109,E0172,M014,2026-02-04,晚餐,8,6.7,1.3,家属代订,社区代办,
O002110,E0052,M001,2026-04-23,早餐,8,6.7,1.3,家属代订,现场点餐,
O002111,E0019,M014,2026-04-03,午餐,12,12.0,0.0,老人主动选择,小程序,
O002112,E0286,M009,2026-01-26,午餐,12,12.0,0.0,家属代订,现场点餐,
O002113,E0196,M005,2026-04-30,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O002114,E0254,M030,2026-04-30,晚餐,8,8.0,0.0,家属代订,小程序,
O002115,E0156,M004,2025-12-21,晚餐,15,13.3,1.7,老人主动选择,小程序,
O002116,E0263,M030,2026-03-13,午餐,8,3.3,4.7,家属代订,现场点餐,
O002117,E0053,M001,2026-05-02,午餐,15,3.3,11.7,老人主动选择,小程序,
O002118,E0024,M003,2026-01-27,晚餐,8,6.7,1.3,家属代订,小程序,
O002119,E0136,M029,2026-01-06,午餐,15,3.3,11.7,老人主动选择,现场点餐,
O002120,E0271,M020,2026-05-26,晚餐,10,3.3,6.7,家属代订,现场点餐,
O002121,E0096,M011,2026-04-22,晚餐,10,6.7,3.3,老人主动选择,小程序,
O002122,E0037,M016,2026-05-05,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O002123,E0271,M011,2026-04-11,晚餐,12,3.3,8.7,老人主动选择,电话订餐,
O002124,E0033,M021,2026-01-16,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O002125,E0291,M030,2026-05-27,早餐,8,3.3,4.7,家属代订,社区代办,
O002126,E0292,M010,2026-03-13,午餐,12,12.0,0.0,食堂替换餐品,现场点餐,
O002127,E0276,M012,2026-02-10,早餐,8,3.3,4.7,家属代订,电话订餐,
O002128,E0200,M030,2026-05-20,午餐,10,3.3,6.7,食堂替换餐品,社区代办,
O002129,E0224,M005,2026-02-27,晚餐,8,6.7,1.3,老人主动选择,小程序,
O002130,E0206,M010,2026-01-27,早餐,15,3.3,11.7,老人主动选择,小程序,
O002131,E0249,M024,2026-03-15,早餐,12,3.3,8.7,家属代订,电话订餐,
O002132,E0235,M013,2026-05-29,午餐,10,6.7,3.3,食堂替换餐品,小程序,
O002133,E0288,M029,2026-02-07,午餐,12,6.7,5.3,家属代订,小程序,
O002134,E0297,M019,2026-01-15,午餐,15,13.3,1.7,老人主动选择,小程序,
O002135,E0087,M007,2026-05-02,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O002136,E0233,M030,2025-12-25,早餐,8,6.7,1.3,老人主动选择,现场点餐,
O002137,E0043,M016,2025-12-11,早餐,12,6.7,5.3,老人主动选择,小程序,
O002138,E0240,M029,2026-01-04,晚餐,10,10.0,0.0,家属代订,电话订餐,
O002139,E0230,M006,2025-12-15,午餐,10,3.3,6.7,老人主动选择,小程序,
O002140,E0195,M010,2026-03-16,午餐,15,6.7,8.3,食堂替换餐品,现场点餐,
O002141,E0264,M027,2026-04-07,晚餐,10,3.3,6.7,食堂替换餐品,电话订餐,
O002142,E0205,M010,2026-02-12,晚餐,10,10.0,0.0,食堂替换餐品,社区代办,
O002143,E0072,M026,2026-02-26,早餐,15,13.3,1.7,食堂替换餐品,小程序,
O002144,E0183,M011,2025-12-16,午餐,8,8.0,0.0,老人主动选择,电话订餐,
O002145,E0151,M022,2025-12-29,晚餐,8,3.3,4.7,食堂替换餐品,小程序,
O002146,E0084,M010,2026-01-07,午餐,10,3.3,6.7,老人主动选择,电话订餐,
O002147,E0090,M025,2025-12-24,晚餐,8,6.7,1.3,食堂替换餐品,现场点餐,
O002148,E0217,M014,2025-12-19,午餐,15,6.7,8.3,老人主动选择,社区代办,
O002149,E0083,M015,2026-05-23,早餐,8,3.3,4.7,老人主动选择,小程序,
O002150,E0055,M007,2026-01-18,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O002151,E0260,M013,2026-01-13,午餐,15,6.7,8.3,老人主动选择,小程序,
O002152,E0288,M011,2026-05-03,午餐,8,6.7,1.3,食堂替换餐品,小程序,
O002153,E0088,M007,2026-05-02,早餐,12,3.3,8.7,家属代订,现场点餐,
O002154,E0204,M011,2025-12-18,早餐,12,6.7,5.3,老人主动选择,小程序,
O002155,E0162,M014,2026-05-13,晚餐,15,15.0,0.0,老人主动选择,小程序,盐分过高
O002156,E0085,M017,2026-04-21,早餐,8,8.0,0.0,家属代订,小程序,
O002157,E0118,M016,2026-01-25,午餐,10,3.3,6.7,老人主动选择,小程序,
O002158,E0108,M001,2026-04-13,晚餐,12,12.0,0.0,家属代订,小程序,
O002159,E0081,M009,2026-01-01,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O002160,E0076,M009,2025-12-26,早餐,8,6.7,1.3,家属代订,电话订餐,
O002161,E0223,M028,2026-04-22,午餐,10,6.7,3.3,食堂替换餐品,电话订餐,
O002162,E0072,M027,2026-05-26,午餐,10,10.0,0.0,老人主动选择,小程序,餐品不合口味
O002163,E0024,M010,2026-01-25,午餐,8,6.7,1.3,老人主动选择,电话订餐,
O002164,E0278,M019,2026-01-06,晚餐,10,6.7,3.3,食堂替换餐品,现场点餐,餐品不合口味
O002165,E0235,M015,2026-04-04,午餐,15,6.7,8.3,食堂替换餐品,社区代办,
O002166,E0225,M016,2026-01-22,午餐,12,3.3,8.7,食堂替换餐品,社区代办,
O002167,E0072,M011,2026-03-11,早餐,12,12.0,0.0,家属代订,电话订餐,
O002168,E0124,M027,2026-02-16,午餐,8,6.7,1.3,老人主动选择,社区代办,
O002169,E0142,M024,2026-01-05,晚餐,8,3.3,4.7,老人主动选择,小程序,健康原因退餐
O002170,E0233,M025,2026-03-11,午餐,10,6.7,3.3,老人主动选择,小程序,
O002171,E0186,M017,2025-12-11,午餐,12,3.3,8.7,家属代订,现场点餐,
O002172,E0129,M028,2025-12-27,早餐,10,10.0,0.0,老人主动选择,小程序,
O002173,E0038,M030,2025-12-02,早餐,8,3.3,4.7,家属代订,小程序,
O002174,E0113,M019,2025-12-22,午餐,8,8.0,0.0,食堂替换餐品,社区代办,糖分过高
O002175,E0285,M013,2026-02-04,午餐,8,3.3,4.7,食堂替换餐品,现场点餐,
O002176,E0220,M006,2026-03-22,早餐,8,8.0,0.0,老人主动选择,小程序,
O002177,E0035,M015,2025-12-17,晚餐,8,8.0,0.0,老人主动选择,现场点餐,健康原因退餐
O002178,E0057,M016,2026-04-11,午餐,8,3.3,4.7,家属代订,现场点餐,
O002179,E0288,M004,2025-12-14,早餐,15,6.7,8.3,老人主动选择,社区代办,
O002180,E0262,M008,2025-12-07,午餐,15,6.7,8.3,家属代订,电话订餐,送餐太晚
O002181,E0175,M025,2026-02-17,早餐,10,6.7,3.3,食堂替换餐品,现场点餐,
O002182,E0206,M007,2026-04-23,早餐,15,3.3,11.7,老人主动选择,现场点餐,
O002183,E0175,M027,2026-03-14,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O002184,E0025,M017,2025-12-18,午餐,10,3.3,6.7,老人主动选择,电话订餐,
O002185,E0091,M016,2025-12-29,午餐,15,6.7,8.3,家属代订,电话订餐,
O002186,E0108,M030,2025-12-31,晚餐,12,12.0,0.0,老人主动选择,电话订餐,
O002187,E0283,M002,2026-04-07,午餐,10,10.0,0.0,家属代订,社区代办,
O002188,E0184,M017,2026-04-11,早餐,8,3.3,4.7,食堂替换餐品,小程序,
O002189,E0012,M025,2026-03-01,午餐,10,6.7,3.3,老人主动选择,小程序,
O002190,E0211,M004,2026-01-27,午餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O002191,E0154,M026,2026-01-25,午餐,12,6.7,5.3,家属代订,小程序,
O002192,E0127,M014,2026-05-30,午餐,8,3.3,4.7,食堂替换餐品,电话订餐,
O002193,E0081,M008,2026-01-12,午餐,12,6.7,5.3,老人主动选择,小程序,
O002194,E0155,M005,2026-02-12,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O002195,E0111,M005,2026-01-18,晚餐,12,12.0,0.0,老人主动选择,社区代办,
O002196,E0136,M005,2026-03-22,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O002197,E0110,M027,2025-12-04,午餐,8,6.7,1.3,老人主动选择,小程序,
O002198,E0274,M005,2026-01-29,早餐,8,3.3,4.7,食堂替换餐品,社区代办,
O002199,E0157,M003,2026-03-04,午餐,12,6.7,5.3,老人主动选择,小程序,
O002200,E0150,M006,2026-04-23,早餐,15,13.3,1.7,食堂替换餐品,电话订餐,
O002201,E0053,M030,2026-02-11,早餐,8,3.3,4.7,家属代订,电话订餐,
O002202,E0140,M001,2026-03-09,午餐,8,6.7,1.3,老人主动选择,社区代办,
O002203,E0155,M008,2026-03-24,午餐,12,3.3,8.7,老人主动选择,小程序,
O002204,E0143,M013,2026-05-24,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O002205,E0075,M020,2025-12-15,午餐,12,12.0,0.0,家属代订,小程序,
O002206,E0269,M006,2026-02-01,晚餐,15,13.3,1.7,老人主动选择,小程序,
O002207,E0061,M018,2025-12-28,晚餐,15,6.7,8.3,食堂替换餐品,社区代办,
O002208,E0156,M018,2026-04-27,早餐,12,12.0,0.0,老人主动选择,电话订餐,
O002209,E0181,M016,2026-05-10,午餐,15,13.3,1.7,家属代订,现场点餐,
O002210,E0066,M008,2026-01-05,午餐,10,6.7,3.3,老人主动选择,小程序,
O002211,E0094,M030,2026-04-04,午餐,10,10.0,0.0,老人主动选择,现场点餐,
O002212,E0269,M017,2026-04-20,午餐,10,10.0,0.0,老人主动选择,现场点餐,
O002213,E0282,M008,2025-12-15,午餐,15,3.3,11.7,食堂替换餐品,电话订餐,
O002214,E0143,M015,2026-04-30,午餐,10,3.3,6.7,食堂替换餐品,电话订餐,
O002215,E0093,M026,2025-12-13,午餐,12,3.3,8.7,老人主动选择,社区代办,
O002216,E0200,M010,2026-02-26,晚餐,10,3.3,6.7,老人主动选择,现场点餐,
O002217,E0167,M001,2026-01-09,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O002218,E0143,M009,2026-05-07,早餐,8,3.3,4.7,老人主动选择,现场点餐,
O002219,E0208,M017,2026-04-03,早餐,15,3.3,11.7,老人主动选择,现场点餐,餐品不合口味
O002220,E0255,M020,2025-12-25,晚餐,12,6.7,5.3,老人主动选择,小程序,
O002221,E0096,M025,2026-05-03,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O002222,E0161,M001,2025-12-24,晚餐,15,6.7,8.3,老人主动选择,社区代办,
O002223,E0109,M009,2026-03-07,晚餐,10,6.7,3.3,家属代订,社区代办,
O002224,E0224,M014,2026-01-08,晚餐,10,6.7,3.3,食堂替换餐品,现场点餐,
O002225,E0127,M024,2026-03-19,午餐,8,3.3,4.7,家属代订,小程序,
O002226,E0062,M005,2026-01-30,早餐,10,6.7,3.3,家属代订,社区代办,
O002227,E0114,M006,2025-12-04,早餐,12,3.3,8.7,老人主动选择,电话订餐,
O002228,E0204,M005,2025-12-26,午餐,10,6.7,3.3,老人主动选择,小程序,
O002229,E0162,M004,2025-12-20,午餐,15,15.0,0.0,家属代订,现场点餐,
O002230,E0232,M028,2026-05-21,午餐,15,3.3,11.7,家属代订,现场点餐,
O002231,E0230,M016,2025-12-16,午餐,8,3.3,4.7,老人主动选择,小程序,
O002232,E0008,M016,2025-12-26,午餐,12,6.7,5.3,老人主动选择,社区代办,
O002233,E0055,M010,2025-12-15,早餐,15,6.7,8.3,食堂替换餐品,社区代办,
O002234,E0033,M014,2026-05-16,早餐,12,3.3,8.7,家属代订,小程序,糖分过高
O002235,E0002,M013,2026-01-11,晚餐,10,6.7,3.3,家属代订,社区代办,
O002236,E0021,M028,2025-12-04,早餐,8,6.7,1.3,家属代订,社区代办,
O002237,E0089,M004,2026-05-01,午餐,8,3.3,4.7,老人主动选择,小程序,
O002238,E0189,M014,2026-04-10,午餐,10,10.0,0.0,老人主动选择,小程序,
O002239,E0112,M026,2026-03-24,晚餐,15,3.3,11.7,食堂替换餐品,小程序,
O002240,E0122,M024,2026-04-08,晚餐,12,3.3,8.7,老人主动选择,小程序,盐分过高
O002241,E0029,M024,2026-04-20,午餐,12,12.0,0.0,老人主动选择,现场点餐,
O002242,E0231,M009,2026-01-23,午餐,12,3.3,8.7,家属代订,小程序,
O002243,E0041,M003,2026-02-20,早餐,15,3.3,11.7,老人主动选择,社区代办,
O002244,E0002,M010,2026-01-09,午餐,10,6.7,3.3,家属代订,社区代办,
O002245,E0157,M015,2026-04-06,晚餐,12,6.7,5.3,老人主动选择,小程序,
O002246,E0072,M024,2026-04-18,午餐,15,13.3,1.7,家属代订,电话订餐,
O002247,E0228,M019,2026-01-11,午餐,12,3.3,8.7,家属代订,电话订餐,
O002248,E0069,M002,2026-03-03,早餐,15,6.7,8.3,老人主动选择,电话订餐,
O002249,E0215,M002,2025-12-04,晚餐,10,3.3,6.7,老人主动选择,小程序,
O002250,E0073,M009,2025-12-25,午餐,12,3.3,8.7,老人主动选择,小程序,
O002251,E0036,M004,2026-03-10,晚餐,10,10.0,0.0,老人主动选择,小程序,
O002252,E0195,M005,2026-05-13,午餐,8,6.7,1.3,老人主动选择,小程序,
O002253,E0026,M002,2026-04-04,午餐,15,6.7,8.3,老人主动选择,社区代办,
O002254,E0232,M025,2026-05-21,早餐,8,3.3,4.7,家属代订,小程序,
O002255,E0154,M007,2026-01-09,午餐,10,6.7,3.3,家属代订,小程序,
O002256,E0028,M019,2026-03-02,晚餐,10,10.0,0.0,老人主动选择,电话订餐,
O002257,E0100,M006,2026-05-22,晚餐,10,6.7,3.3,老人主动选择,小程序,
O002258,E0037,M023,2026-04-15,午餐,12,3.3,8.7,老人主动选择,小程序,
O002259,E0138,M016,2026-02-23,午餐,12,6.7,5.3,家属代订,电话订餐,
O002260,E0081,M014,2026-01-04,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O002261,E0152,M012,2026-05-21,午餐,10,3.3,6.7,老人主动选择,小程序,
O002262,E0168,M006,2026-04-25,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O002263,E0099,M026,2026-01-16,午餐,12,12.0,0.0,食堂替换餐品,电话订餐,
O002264,E0020,M027,2026-05-02,晚餐,15,6.7,8.3,家属代订,电话订餐,
O002265,E0252,M026,2026-05-18,晚餐,10,6.7,3.3,食堂替换餐品,现场点餐,
O002266,E0133,M022,2025-12-05,午餐,12,12.0,0.0,老人主动选择,小程序,
O002267,E0135,M013,2026-04-04,晚餐,12,6.7,5.3,老人主动选择,电话订餐,
O002268,E0186,M015,2026-03-21,午餐,8,3.3,4.7,老人主动选择,现场点餐,
O002269,E0215,M024,2026-02-10,早餐,10,3.3,6.7,食堂替换餐品,社区代办,
O002270,E0121,M014,2026-02-25,早餐,10,6.7,3.3,老人主动选择,现场点餐,
O002271,E0161,M008,2025-12-03,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O002272,E0191,M021,2026-05-14,晚餐,8,3.3,4.7,老人主动选择,电话订餐,过于油腻
O002273,E0033,M030,2026-03-03,晚餐,15,3.3,11.7,家属代订,电话订餐,
O002274,E0060,M020,2026-01-10,午餐,10,6.7,3.3,老人主动选择,现场点餐,
O002275,E0179,M011,2026-04-27,早餐,15,3.3,11.7,老人主动选择,现场点餐,
O002276,E0138,M021,2026-02-25,早餐,10,6.7,3.3,食堂替换餐品,小程序,盐分过高
O002277,E0160,M009,2026-05-17,午餐,12,3.3,8.7,老人主动选择,小程序,
O002278,E0020,M012,2026-02-23,晚餐,15,6.7,8.3,家属代订,小程序,
O002279,E0059,M026,2026-04-15,晚餐,10,3.3,6.7,老人主动选择,小程序,
O002280,E0188,M006,2026-04-12,午餐,15,6.7,8.3,家属代订,社区代办,
O002281,E0072,M019,2025-12-25,晚餐,12,12.0,0.0,老人主动选择,小程序,
O002282,E0177,M003,2026-01-08,午餐,8,3.3,4.7,老人主动选择,小程序,
O002283,E0172,M030,2026-05-14,早餐,8,6.7,1.3,家属代订,现场点餐,
O002284,E0085,M001,2026-04-04,午餐,15,15.0,0.0,老人主动选择,小程序,
O002285,E0081,M015,2026-03-15,晚餐,15,6.7,8.3,食堂替换餐品,小程序,
O002286,E0202,M015,2025-12-05,午餐,15,3.3,11.7,家属代订,电话订餐,
O002287,E0002,M005,2026-04-15,晚餐,10,6.7,3.3,家属代订,电话订餐,
O002288,E0136,M022,2025-12-04,午餐,12,3.3,8.7,老人主动选择,小程序,
O002289,E0009,M024,2026-05-18,早餐,15,6.7,8.3,家属代订,电话订餐,
O002290,E0294,M011,2026-01-29,早餐,8,3.3,4.7,家属代订,小程序,
O002291,E0087,M025,2026-01-23,晚餐,10,3.3,6.7,家属代订,电话订餐,
O002292,E0225,M023,2026-04-29,午餐,15,3.3,11.7,老人主动选择,电话订餐,糖分过高
O002293,E0214,M001,2026-02-16,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O002294,E0003,M023,2025-12-19,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O002295,E0210,M010,2026-03-09,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O002296,E0062,M025,2026-02-06,晚餐,10,6.7,3.3,食堂替换餐品,电话订餐,
O002297,E0151,M020,2026-01-02,午餐,12,3.3,8.7,家属代订,小程序,
O002298,E0261,M011,2026-04-29,晚餐,12,3.3,8.7,老人主动选择,小程序,
O002299,E0071,M028,2026-04-18,早餐,8,3.3,4.7,食堂替换餐品,现场点餐,
O002300,E0165,M007,2025-12-22,午餐,12,12.0,0.0,老人主动选择,小程序,
O002301,E0265,M025,2026-04-06,晚餐,12,12.0,0.0,老人主动选择,现场点餐,
O002302,E0225,M017,2026-03-03,晚餐,10,3.3,6.7,家属代订,小程序,
O002303,E0289,M012,2026-01-13,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O002304,E0057,M026,2025-12-09,午餐,8,3.3,4.7,食堂替换餐品,社区代办,
O002305,E0272,M025,2026-02-16,午餐,15,3.3,11.7,家属代订,小程序,
O002306,E0138,M004,2026-02-17,午餐,10,6.7,3.3,老人主动选择,电话订餐,送餐太晚
O002307,E0060,M012,2026-02-24,早餐,10,6.7,3.3,食堂替换餐品,电话订餐,
O002308,E0050,M024,2025-12-15,早餐,10,6.7,3.3,老人主动选择,现场点餐,
O002309,E0027,M003,2025-12-06,晚餐,12,12.0,0.0,老人主动选择,小程序,
O002310,E0208,M018,2025-12-01,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O002311,E0005,M029,2025-12-20,午餐,8,6.7,1.3,食堂替换餐品,现场点餐,
O002312,E0091,M012,2025-12-14,晚餐,8,6.7,1.3,老人主动选择,小程序,
O002313,E0090,M024,2026-04-09,早餐,10,6.7,3.3,老人主动选择,小程序,
O002314,E0268,M024,2026-02-08,午餐,15,13.3,1.7,老人主动选择,小程序,
O002315,E0243,M019,2025-12-02,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O002316,E0187,M013,2026-04-10,晚餐,8,3.3,4.7,家属代订,小程序,
O002317,E0114,M016,2025-12-20,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O002318,E0274,M008,2026-02-22,晚餐,12,3.3,8.7,老人主动选择,小程序,
O002319,E0201,M027,2026-05-18,午餐,10,3.3,6.7,家属代订,小程序,
O002320,E0063,M027,2026-01-23,晚餐,8,8.0,0.0,老人主动选择,电话订餐,
O002321,E0013,M006,2026-01-10,午餐,12,12.0,0.0,老人主动选择,现场点餐,
O002322,E0168,M010,2026-03-25,晚餐,8,6.7,1.3,食堂替换餐品,电话订餐,
O002323,E0263,M025,2026-04-12,早餐,12,3.3,8.7,老人主动选择,现场点餐,
O002324,E0008,M010,2025-12-19,午餐,8,6.7,1.3,家属代订,电话订餐,
O002325,E0279,M029,2026-02-20,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O002326,E0083,M006,2026-02-01,午餐,12,3.3,8.7,老人主动选择,电话订餐,
O002327,E0181,M008,2025-12-01,午餐,10,10.0,0.0,老人主动选择,社区代办,
O002328,E0023,M018,2025-12-25,晚餐,8,3.3,4.7,老人主动选择,电话订餐,
O002329,E0065,M017,2026-05-23,晚餐,15,3.3,11.7,老人主动选择,电话订餐,
O002330,E0249,M026,2026-04-22,午餐,10,3.3,6.7,老人主动选择,电话订餐,
O002331,E0243,M010,2026-04-24,晚餐,15,6.7,8.3,老人主动选择,小程序,
O002332,E0026,M002,2026-04-28,早餐,8,6.7,1.3,老人主动选择,小程序,
O002333,E0287,M012,2026-05-30,午餐,12,12.0,0.0,老人主动选择,小程序,
O002334,E0033,M020,2026-01-24,晚餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O002335,E0245,M010,2026-03-17,早餐,12,6.7,5.3,食堂替换餐品,小程序,
O002336,E0024,M009,2026-04-17,晚餐,12,6.7,5.3,食堂替换餐品,小程序,
O002337,E0024,M016,2026-02-03,晚餐,15,6.7,8.3,家属代订,社区代办,
O002338,E0137,M007,2026-01-06,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O002339,E0112,M009,2026-03-22,午餐,10,3.3,6.7,家属代订,小程序,
O002340,E0137,M025,2025-12-07,午餐,10,3.3,6.7,家属代订,现场点餐,
O002341,E0030,M025,2026-02-14,晚餐,10,10.0,0.0,老人主动选择,小程序,
O002342,E0175,M024,2026-01-09,午餐,15,6.7,8.3,老人主动选择,电话订餐,
O002343,E0283,M006,2026-05-27,午餐,15,13.3,1.7,老人主动选择,电话订餐,
O002344,E0300,M030,2025-12-01,早餐,12,12.0,0.0,老人主动选择,小程序,
O002345,E0004,M027,2026-04-27,午餐,12,3.3,8.7,老人主动选择,小程序,
O002346,E0079,M010,2025-12-21,晚餐,12,3.3,8.7,食堂替换餐品,小程序,
O002347,E0256,M007,2026-05-08,午餐,10,10.0,0.0,家属代订,小程序,
O002348,E0184,M018,2026-02-06,晚餐,8,3.3,4.7,老人主动选择,小程序,餐品不合口味
O002349,E0088,M011,2025-12-12,午餐,15,3.3,11.7,家属代订,社区代办,送餐太晚
O002350,E0115,M001,2026-04-29,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O002351,E0114,M029,2025-12-07,早餐,15,3.3,11.7,家属代订,现场点餐,
O002352,E0144,M021,2026-04-05,晚餐,8,3.3,4.7,食堂替换餐品,电话订餐,
O002353,E0046,M024,2025-12-25,早餐,15,3.3,11.7,家属代订,现场点餐,
O002354,E0016,M019,2026-04-10,午餐,15,6.7,8.3,家属代订,小程序,
O002355,E0250,M023,2025-12-09,午餐,15,6.7,8.3,老人主动选择,小程序,
O002356,E0022,M005,2026-04-28,午餐,12,6.7,5.3,老人主动选择,电话订餐,
O002357,E0107,M028,2025-12-13,午餐,8,6.7,1.3,家属代订,现场点餐,
O002358,E0070,M026,2026-04-20,午餐,10,6.7,3.3,家属代订,小程序,
O002359,E0248,M029,2026-03-15,早餐,10,10.0,0.0,家属代订,电话订餐,
O002360,E0219,M024,2025-12-26,午餐,10,3.3,6.7,食堂替换餐品,小程序,
O002361,E0001,M006,2026-04-13,晚餐,8,3.3,4.7,家属代订,电话订餐,
O002362,E0052,M022,2025-12-25,午餐,15,6.7,8.3,家属代订,电话订餐,
O002363,E0192,M007,2026-04-30,早餐,10,3.3,6.7,家属代订,现场点餐,
O002364,E0025,M023,2025-12-24,午餐,8,3.3,4.7,老人主动选择,小程序,
O002365,E0040,M004,2026-03-11,午餐,12,6.7,5.3,老人主动选择,小程序,
O002366,E0040,M026,2025-12-26,早餐,8,6.7,1.3,家属代订,电话订餐,
O002367,E0201,M016,2026-04-11,午餐,12,3.3,8.7,老人主动选择,社区代办,
O002368,E0226,M028,2026-03-12,午餐,8,6.7,1.3,家属代订,小程序,
O002369,E0181,M010,2026-05-12,早餐,12,12.0,0.0,老人主动选择,电话订餐,
O002370,E0283,M026,2026-03-10,午餐,10,10.0,0.0,老人主动选择,电话订餐,
O002371,E0083,M015,2025-12-25,晚餐,8,3.3,4.7,食堂替换餐品,小程序,
O002372,E0131,M013,2026-04-27,晚餐,12,3.3,8.7,老人主动选择,现场点餐,
O002373,E0163,M008,2025-12-01,晚餐,15,6.7,8.3,老人主动选择,小程序,
O002374,E0112,M022,2026-03-04,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O002375,E0246,M027,2026-02-06,早餐,10,6.7,3.3,家属代订,电话订餐,
O002376,E0211,M013,2025-12-23,晚餐,12,3.3,8.7,家属代订,电话订餐,
O002377,E0046,M024,2025-12-08,早餐,12,3.3,8.7,食堂替换餐品,小程序,
O002378,E0252,M007,2026-04-29,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O002379,E0284,M017,2026-03-05,午餐,12,6.7,5.3,食堂替换餐品,小程序,
O002380,E0276,M004,2026-01-31,早餐,12,3.3,8.7,老人主动选择,现场点餐,
